선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일,시즌
김태형91OC,88,221,199,17,45,8,0,1,56,24,3,2,14,1,0,13,4,6,1,0.226,0.279,0.281,0.561,0.262,52.9,0.27,1967-09-12,1991
박정환10S1B,44,104,92,15,28,9,0,1,40,10,0,2,7,1,0,18,2,4,0,0.304,0.36,0.435,0.795,0.351,106.4,0.27,1977-10-23,2010
최인호21한LF,49,164,136,17,28,6,0,4,46,23,2,1,24,2,0,43,1,0,2,0.206,0.329,0.338,0.668,0.321,87.7,0.27,2000-01-30,2021
강봉규04두,40,85,72,14,17,2,1,1,24,5,2,1,10,1,0,20,0,2,0,0.236,0.337,0.333,0.671,0.313,81.5,0.27,1978-01-12,2004
강형석93O,21,34,29,4,8,2,0,0,10,2,1,1,4,1,0,3,0,0,0,0.276,0.382,0.345,0.727,0.353,131.5,0.27,1968-01-07,1993
김강10한1B,14,26,24,2,10,2,0,0,12,4,0,0,2,0,0,4,1,0,0,0.417,0.462,0.5,0.962,0.447,169.2,0.27,1988-10-16,2010
이현곤13N1B,91,161,139,10,38,7,0,0,45,9,2,0,16,3,0,14,4,3,0,0.273,0.361,0.324,0.685,0.329,91.2,0.27,1980-02-21,2013
송일수85삼C,55,157,130,16,27,7,0,2,40,20,2,2,14,1,0,11,4,9,2,0.208,0.286,0.308,0.593,0.265,57.5,0.27,1950-12-13,1985
금광옥88태C,36,103,95,4,23,4,0,1,30,8,0,2,7,0,0,4,1,1,0,0.242,0.294,0.316,0.61,0.287,72.4,0.27,1956-12-19,1988
유필선97롯,29,62,53,9,13,4,0,0,17,4,0,1,5,4,0,15,0,0,0,0.245,0.355,0.321,0.676,0.325,100.8,0.27,1970-09-06,1997
정진호16두LF,31,32,24,9,9,0,1,0,11,3,0,2,6,2,0,1,0,0,0,0.375,0.531,0.458,0.99,0.473,169.9,0.27,1988-10-02,2016
강종필94삼,61,67,56,13,13,1,0,1,17,3,4,2,6,3,0,19,0,2,0,0.232,0.339,0.304,0.642,0.304,89.7,0.27,1967-02-28,1994
박준태14KRF,32,55,42,6,11,0,0,0,11,2,2,0,8,5,0,18,1,0,0,0.262,0.436,0.262,0.698,0.366,102.6,0.27,1991-07-26,2014
최해식95해C,96,284,250,17,49,7,0,2,62,14,0,2,18,9,0,49,5,6,1,0.196,0.273,0.248,0.521,0.247,54.7,0.27,1968-09-30,1995
황정립13K1B,21,57,45,8,11,2,0,1,16,8,0,0,10,2,0,13,2,0,0,0.244,0.404,0.356,0.759,0.373,121.2,0.27,1989-12-14,2013
김광희03L,6,11,9,3,4,1,1,0,7,2,0,0,2,0,0,2,1,0,0,0.444,0.546,0.778,1.323,0.564,262.6,0.27,1983-07-23,2003
노진혁13NSS,117,361,327,32,73,19,2,3,105,27,1,3,26,1,1,83,5,5,1,0.223,0.282,0.321,0.603,0.28,57.6,0.27,1989-07-15,2013
김용달85MDH,71,166,142,15,33,9,0,3,51,14,3,0,21,0,2,24,5,1,2,0.232,0.327,0.359,0.686,0.318,94.2,0.27,1956-05-10,1985
장종훈04한1B,70,165,153,21,39,10,0,6,67,27,0,1,10,0,0,31,4,2,0,0.255,0.301,0.438,0.739,0.329,93.2,0.27,1968-04-10,2004
김동재88삼CF,61,158,144,12,34,5,0,2,45,15,3,2,9,3,0,19,5,0,2,0.236,0.291,0.313,0.604,0.286,72.2,0.27,1960-01-31,1988
문규현16롯SS,120,368,316,38,86,10,0,4,108,40,2,3,29,1,0,39,10,19,2,0.272,0.333,0.342,0.675,0.301,62.9,0.27,1983-07-05,2016
김재구02S,15,15,14,3,6,0,0,1,9,5,0,0,1,0,0,3,1,0,0,0.429,0.467,0.643,1.11,0.486,211.1,0.27,1978-05-31,2002
김우근87MRF,44,84,69,11,19,2,1,0,23,4,2,2,9,1,0,5,1,5,0,0.275,0.367,0.333,0.7,0.322,95.8,0.27,1956-01-26,1987
최진행14한LF,99,328,299,32,78,16,0,12,130,45,1,2,23,3,0,79,8,0,3,0.261,0.317,0.435,0.752,0.333,79.3,0.27,1985-08-17,2014
김상현14SLF,42,87,80,8,21,3,1,5,41,20,1,1,5,1,0,22,2,0,1,0.263,0.31,0.513,0.823,0.351,96.5,0.27,1980-11-12,2014
이영빈21L1B,72,169,148,21,36,9,0,2,51,16,6,3,15,3,0,51,1,2,1,0.243,0.323,0.345,0.668,0.316,86.6,0.27,2002-06-17,2021
용덕한12롯두C,55,80,72,9,17,1,0,1,21,6,3,0,4,1,0,10,0,3,0,0.236,0.286,0.292,0.577,0.269,61,0.27,1981-04-09,2012
김찬형20NSS,56,72,64,10,19,6,0,0,25,7,3,1,4,1,0,11,0,2,1,0.297,0.343,0.391,0.734,0.329,89.7,0.27,1997-12-29,2020
이성우17SC,64,125,111,6,31,5,0,1,39,14,0,0,6,1,0,17,2,7,0,0.279,0.322,0.351,0.673,0.292,63.5,0.27,1981-09-01,2017
백인호98해LF,70,151,133,9,37,6,0,3,52,12,2,0,6,2,1,21,3,10,0,0.278,0.319,0.391,0.71,0.298,83.4,0.27,1963-05-19,1998
정상호07SC,66,90,83,7,18,4,0,2,28,12,1,0,6,0,0,25,1,0,1,0.217,0.267,0.337,0.604,0.281,64.6,0.27,1982-12-24,2007
조동찬14삼3B,31,87,74,8,20,4,0,1,27,6,5,2,10,1,0,21,5,1,1,0.27,0.361,0.365,0.725,0.336,84,0.26,1983-07-27,2014
문희성00두RF,21,36,36,6,12,2,0,2,20,7,0,0,0,0,0,5,1,0,0,0.333,0.333,0.556,0.889,0.386,131.5,0.26,1973-02-22,2000
정영규99LRF,16,44,40,4,12,2,0,3,23,7,0,0,2,1,1,6,0,0,1,0.3,0.341,0.575,0.916,0.375,120.5,0.26,1970-11-03,1999
유민상18KDH,31,58,48,9,13,2,1,3,26,14,0,0,8,0,0,14,3,0,2,0.271,0.362,0.542,0.904,0.376,119.5,0.26,1989-04-13,2018
진상봉90빙CF,35,45,39,5,11,4,0,0,15,5,2,1,3,1,0,10,0,2,0,0.282,0.349,0.385,0.734,0.335,102.6,0.26,1965-04-06,1990
조성옥89롯DH,101,339,275,26,71,18,1,0,91,33,5,6,40,3,0,18,3,18,3,0.258,0.355,0.331,0.686,0.318,93.5,0.26,1961-08-25,1989
정영규98한L,29,62,57,1,16,6,0,0,22,7,0,0,4,0,0,14,1,0,1,0.281,0.323,0.386,0.709,0.319,97.9,0.26,1970-11-03,1998
최영환88태C,37,90,81,6,19,2,1,1,26,10,0,0,5,1,0,9,2,1,2,0.235,0.281,0.321,0.602,0.278,66.4,0.26,1959-02-28,1988
김경언16한RF,66,217,182,23,48,6,1,5,71,25,3,0,28,2,0,46,7,2,3,0.264,0.363,0.39,0.753,0.346,90,0.26,1982-12-07,2016
도명진95태C,13,23,21,2,6,1,0,1,10,4,0,0,2,0,0,5,1,0,0,0.286,0.348,0.476,0.824,0.374,142.6,0.26,1972-12-24,1995
전대영94한2B,52,90,77,8,14,3,0,3,26,16,0,0,12,0,0,22,3,0,1,0.182,0.289,0.338,0.627,0.295,83.1,0.26,1962-02-10,1994
임정면87빙2B,51,77,68,10,17,2,0,1,22,2,3,2,7,0,0,7,1,2,0,0.25,0.32,0.324,0.644,0.304,83.8,0.26,1958-09-17,1987
하주석18한SS,141,517,484,67,123,20,3,9,176,52,14,12,28,4,0,130,7,1,0,0.254,0.3,0.364,0.664,0.296,64.3,0.26,1994-02-25,2018
이종환12KRF,6,13,13,2,5,2,0,1,10,3,0,0,0,0,0,3,0,0,0,0.385,0.385,0.769,1.154,0.522,240.6,0.26,1986-05-08,2012
박재벌97해,76,120,96,16,20,4,0,1,27,10,7,4,12,7,0,9,4,3,2,0.208,0.333,0.281,0.615,0.292,78.2,0.26,1968-09-17,1997
정의윤18SDH,73,239,217,27,59,9,0,11,101,38,1,1,19,2,1,29,8,0,1,0.272,0.335,0.465,0.8,0.345,94.9,0.26,1986-07-25,2018
박기택91쌍,31,72,62,6,12,1,0,4,25,6,1,1,8,1,0,18,3,1,0,0.194,0.296,0.403,0.699,0.319,93.3,0.26,1968-11-10,1991
신본기21K2B,96,205,173,25,41,8,0,1,52,19,1,2,22,4,0,44,6,5,1,0.237,0.335,0.301,0.636,0.305,74.7,0.26,1989-03-21,2021
김성현96삼C,45,125,107,11,19,5,0,2,30,5,0,1,13,2,0,24,4,2,1,0.178,0.276,0.28,0.557,0.263,63.3,0.26,1963-08-21,1996
이진영21KCF,17,47,40,8,8,2,1,2,18,5,1,0,3,4,0,22,0,0,0,0.2,0.319,0.45,0.769,0.353,108.2,0.26,1997-07-21,2021
나성용11한,27,42,38,4,9,3,0,2,18,7,0,0,4,0,0,15,1,0,0,0.237,0.31,0.474,0.783,0.355,113.3,0.26,1988-01-05,2011
심광호07한C,76,151,132,14,26,4,1,3,41,14,3,1,7,6,1,24,5,6,0,0.197,0.269,0.311,0.58,0.262,53.4,0.26,1977-08-01,2007
이양기05한,10,12,11,5,5,0,0,1,8,1,0,0,1,0,0,1,1,0,0,0.455,0.5,0.727,1.227,0.545,240.7,0.26,1981-01-31,2005
정종현84OC,29,39,36,3,8,0,1,2,16,6,0,0,1,1,0,7,3,0,1,0.222,0.256,0.444,0.701,0.316,97.2,0.26,1959-12-05,1984
손지환01LSS,96,211,188,25,47,8,1,5,72,22,2,4,12,1,0,29,3,9,1,0.25,0.297,0.383,0.68,0.296,63.7,0.25,1978-11-13,2001
이재원09SDH,24,39,32,2,11,2,0,0,13,5,0,0,6,1,0,4,1,0,0,0.344,0.462,0.406,0.868,0.413,143.3,0.25,1988-02-24,2009
장채근86해C,28,48,42,3,8,1,0,2,15,3,0,0,4,1,0,13,1,1,0,0.19,0.277,0.357,0.634,0.298,87.9,0.25,1964-03-28,1986
김태완16한,24,24,20,3,7,1,1,0,10,0,0,0,3,1,0,8,0,0,0,0.35,0.458,0.5,0.958,0.441,152.9,0.25,1984-01-27,2016
박정권08S1B,56,138,127,15,33,4,1,3,48,20,0,0,11,0,1,23,3,0,0,0.26,0.319,0.378,0.697,0.325,92.9,0.25,1981-07-21,2008
장효조92롯DH,82,242,204,23,54,9,0,0,63,25,3,1,33,1,1,25,2,1,3,0.265,0.365,0.309,0.674,0.325,91.8,0.25,1956-07-06,1992
정현21SN2B,68,149,117,14,26,5,1,0,33,7,0,1,17,7,0,24,7,8,0,0.222,0.355,0.282,0.637,0.304,76.1,0.25,1994-06-01,2021
백승룡12한2B,33,62,52,3,12,1,0,0,13,3,3,0,6,3,0,20,0,1,0,0.231,0.344,0.25,0.594,0.297,81.5,0.25,1982-08-16,2012
안승한22두C,22,35,33,5,11,3,0,0,14,8,0,0,1,0,0,10,0,1,0,0.333,0.353,0.424,0.777,0.349,118.8,0.25,1992-01-25,2022
전상렬02두LF,125,290,268,39,66,12,2,5,97,26,10,3,14,4,1,43,6,2,2,0.246,0.292,0.362,0.654,0.29,72.2,0.25,1972-06-12,2002
한승택19KC,105,288,251,22,56,9,1,3,76,27,1,0,27,1,1,82,8,7,2,0.223,0.299,0.303,0.602,0.278,61,0.25,1994-06-21,2019
정상호17LC,79,150,137,16,36,3,0,3,48,17,0,0,4,5,0,32,8,4,0,0.263,0.308,0.35,0.659,0.293,66.3,0.25,1982-12-24,2017
유동효88태,50,105,97,13,24,3,1,2,35,8,1,0,4,1,0,16,2,3,0,0.247,0.284,0.361,0.645,0.292,75.7,0.25,1965-04-16,1988
임성우91빙,31,36,33,4,10,2,0,0,12,1,1,0,3,0,0,10,0,0,0,0.303,0.361,0.364,0.725,0.345,111,0.25,1968-06-02,1991
김동재92L2B,25,64,60,10,15,3,1,1,23,12,1,0,4,0,0,4,0,0,0,0.25,0.297,0.383,0.68,0.311,82.1,0.25,1960-01-31,1992
이재원21LRF,62,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,0.327,96.4,0.25,1999-07-17,2021
조경택02한C,107,177,157,15,32,6,0,4,50,16,1,2,13,3,0,41,3,4,0,0.204,0.278,0.318,0.596,0.267,57.9,0.25,1970-11-25,2002
박상국88태1B,54,159,144,20,37,7,1,1,49,8,3,0,11,1,0,16,2,3,0,0.257,0.314,0.34,0.654,0.304,84.1,0.25,1960-09-06,1988
이영수10KDH,42,88,73,9,18,6,0,2,30,13,0,0,10,4,0,11,4,1,0,0.247,0.368,0.411,0.779,0.359,111.4,0.25,1981-05-09,2010
강경학19한SS,52,135,113,21,27,4,0,0,31,12,1,2,15,3,0,32,3,3,1,0.239,0.341,0.274,0.615,0.297,77.6,0.25,1992-08-11,2019
소상영95O,30,72,63,7,15,3,1,1,23,7,0,0,6,0,0,15,1,2,1,0.238,0.3,0.365,0.665,0.296,87.9,0.25,1973-10-29,1995
장광호98현C,65,62,58,15,15,5,0,2,26,10,1,1,0,0,0,11,0,3,1,0.259,0.254,0.448,0.703,0.289,76.9,0.25,1967-04-14,1998
정기창96쌍,26,52,49,5,13,1,0,1,17,3,2,0,2,1,0,12,3,0,0,0.265,0.308,0.347,0.655,0.308,93.3,0.25,1970-12-21,1996
정형식11삼CF,52,88,74,9,17,3,0,1,23,5,4,3,12,0,0,15,0,2,0,0.23,0.337,0.311,0.648,0.31,82.6,0.25,1991-01-28,2011
박연수06롯RF,42,64,56,8,14,0,0,2,20,9,0,0,8,0,1,16,3,0,0,0.25,0.344,0.357,0.701,0.329,106.8,0.25,1974-01-14,2006
김종문87빙C,28,31,27,2,9,2,0,0,11,7,0,2,3,0,0,3,0,0,0,0.333,0.4,0.407,0.807,0.375,132,0.25,1964-11-10,1987
김성래91삼2B,30,68,51,7,8,1,0,3,18,5,0,1,11,3,0,10,2,1,2,0.157,0.328,0.353,0.681,0.319,93,0.25,1961-03-23,1991
정보명10롯LF,30,86,76,6,22,5,1,0,29,9,0,1,8,0,0,15,1,1,1,0.289,0.353,0.382,0.735,0.338,97.3,0.25,1980-08-23,2010
홍승규83삼LF,51,104,92,12,24,4,0,0,28,3,3,2,8,2,0,10,2,2,0,0.261,0.333,0.304,0.638,0.302,89.3,0.25,1960-06-20,1983
한유섬14S1B,67,163,143,17,36,10,3,3,61,24,0,0,11,5,0,53,1,2,2,0.252,0.323,0.427,0.75,0.33,86,0.25,1989-08-09,2014
채태인19롯1B,59,182,167,11,42,11,0,5,68,29,0,0,11,2,1,45,5,0,2,0.252,0.302,0.407,0.709,0.321,91.4,0.25,1982-10-11,2019
박희찬86롯C,5,5,4,2,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0.75,0.8,1,1.8,0.8,467.4,0.25,1963-05-01,1986
이인구07롯CF,65,204,167,18,33,8,2,1,48,12,2,2,19,9,0,34,2,7,2,0.198,0.31,0.287,0.597,0.282,65.2,0.25,1980-11-07,2007
장운호22한RF,43,107,91,9,22,3,0,1,28,11,0,0,11,3,1,20,2,1,1,0.242,0.34,0.308,0.647,0.306,86.9,0.25,1994-02-20,2022
남기헌00삼,73,131,110,16,25,6,1,0,33,10,1,0,11,7,0,23,2,2,1,0.227,0.333,0.3,0.633,0.299,72.6,0.25,1977-08-01,2000
류재원07KCF,10,12,12,4,4,0,0,2,10,2,0,0,0,0,0,3,0,0,0,0.333,0.333,0.833,1.167,0.513,228.8,0.25,1983-12-13,2007
이재원06SC,23,49,48,2,15,0,0,0,15,4,0,0,1,0,0,9,2,0,0,0.313,0.327,0.313,0.639,0.305,89.1,0.25,1988-02-24,2006
김정민93LC,61,74,67,5,17,4,0,0,21,5,0,1,3,1,0,13,2,2,1,0.254,0.292,0.313,0.605,0.28,75.9,0.25,1970-03-15,1993
나웅92L3B,43,67,56,13,13,4,2,0,21,6,4,2,8,0,0,16,1,1,2,0.232,0.318,0.375,0.693,0.312,82.6,0.25,1967-01-11,1992
박현승04롯3B,61,174,146,18,32,6,0,1,41,11,2,1,22,2,0,30,4,3,1,0.219,0.328,0.281,0.608,0.293,68.2,0.24,1972-09-12,2004
오재필12한CF,46,83,70,10,15,1,0,1,19,5,6,1,9,1,0,26,0,3,0,0.214,0.313,0.271,0.584,0.279,69,0.24,1982-07-27,2012
권도영09히2B,38,63,53,3,15,3,0,0,18,5,1,0,6,2,0,13,1,2,0,0.283,0.377,0.34,0.717,0.333,88.3,0.24,1981-02-11,2009
오재원20두2B,85,174,155,25,36,7,1,5,60,27,10,5,16,0,0,49,3,1,2,0.232,0.301,0.387,0.688,0.31,82.3,0.24,1985-02-09,2020
오재원07두SS,49,64,58,10,15,4,0,0,19,5,3,2,4,1,0,17,1,0,1,0.259,0.313,0.328,0.64,0.304,81,0.24,1985-02-09,2007
박경완92쌍C,31,52,49,5,11,1,0,3,21,6,0,0,3,0,0,13,2,0,0,0.224,0.269,0.429,0.698,0.311,82.8,0.24,1972-07-11,1992
장준원22K2B,35,63,57,7,14,2,0,3,25,10,1,0,3,0,0,17,5,3,0,0.246,0.283,0.439,0.722,0.31,88,0.24,1995-11-21,2022
김태완12L2B,58,168,141,16,31,5,0,2,42,14,0,1,17,2,0,21,4,7,1,0.22,0.311,0.298,0.608,0.284,71.9,0.24,1981-09-19,2012
박성한20SSS,41,112,99,7,24,2,0,2,32,8,1,1,11,1,0,21,1,1,0,0.242,0.324,0.323,0.648,0.305,73.3,0.24,1998-03-30,2020
서효인92LCF,71,160,138,12,31,5,1,2,44,8,0,1,13,5,0,24,1,4,0,0.225,0.314,0.319,0.633,0.295,70.6,0.24,1962-02-06,1992
김승권06현,21,23,22,4,7,1,0,1,11,7,0,0,1,0,0,6,1,0,0,0.318,0.348,0.5,0.848,0.391,150.7,0.24,1976-05-01,2006
김상우89롯,20,50,46,3,11,1,0,1,15,5,4,0,4,0,0,4,0,0,0,0.239,0.3,0.326,0.626,0.303,83.4,0.24,1966-12-14,1989
이중화87빙CF,48,74,65,13,17,3,0,0,20,6,3,4,5,3,0,5,2,1,0,0.262,0.343,0.308,0.65,0.316,92,0.24,1964-02-11,1987
정진호83삼CF,41,77,65,6,14,3,0,1,20,6,2,2,8,2,0,13,1,1,1,0.215,0.316,0.308,0.624,0.296,85.2,0.24,1956-06-23,1983
안상준03L3B,73,245,214,19,53,7,1,3,71,21,5,1,18,1,0,33,6,11,1,0.248,0.308,0.332,0.64,0.284,61.1,0.24,1973-02-13,2003
최영진19삼3B,96,275,251,29,63,15,1,5,95,20,4,1,14,2,2,47,4,8,0,0.251,0.296,0.378,0.674,0.299,75,0.24,1988-05-10,2019
황병일89빙2B,69,139,116,14,24,4,0,2,34,9,2,1,14,3,1,22,2,4,2,0.207,0.304,0.293,0.597,0.282,69.8,0.24,1960-03-22,1989
김정남09SC,15,26,21,4,6,1,0,1,10,2,0,0,3,1,0,4,1,1,0,0.286,0.4,0.476,0.876,0.381,121.2,0.24,1986-11-22,2009
김원섭13KLF,42,119,96,12,18,8,0,1,29,12,1,0,23,0,0,20,0,0,0,0.188,0.345,0.302,0.647,0.321,85.6,0.24,1978-12-18,2013
조재환87해CF,87,269,237,16,55,7,0,0,62,7,1,3,28,0,0,16,4,2,2,0.232,0.311,0.262,0.573,0.282,67,0.24,1964-11-19,1987
최승민19NCF,24,10,9,5,4,1,0,0,5,1,5,2,1,0,0,2,0,0,0,0.444,0.5,0.556,1.056,0.487,202.8,0.24,1996-07-01,2019
박세혁21두C,96,270,237,25,52,12,0,0,64,30,4,2,22,5,0,43,6,3,3,0.219,0.296,0.27,0.566,0.275,57.8,0.24,1990-01-09,2021
김종호16NLF,93,137,122,26,36,2,0,0,38,7,13,6,14,0,0,30,3,1,0,0.295,0.368,0.311,0.679,0.329,82.9,0.23,1984-05-31,2016
우경하85삼CF,51,156,147,14,36,3,1,3,50,13,2,3,3,3,0,19,4,3,0,0.245,0.275,0.34,0.615,0.283,71,0.23,1957-10-15,1985
이정식10삼C,50,104,93,12,24,3,0,1,30,7,2,0,6,0,0,22,4,5,0,0.258,0.303,0.323,0.626,0.28,59.2,0.23,1981-11-02,2010
백용환19KC,28,51,47,3,11,2,0,2,19,6,0,0,3,1,0,14,0,0,0,0.234,0.294,0.404,0.698,0.32,89.8,0.23,1989-03-20,2019
김일경07현2B,117,444,376,44,93,11,1,3,115,26,9,3,25,6,0,56,11,36,1,0.247,0.304,0.306,0.61,0.269,57.6,0.23,1978-07-01,2007
바워스99현RF,43,134,124,17,36,6,3,3,57,12,0,6,6,2,0,27,3,0,2,0.29,0.328,0.46,0.788,0.342,98.4,0.23,1971-05-02,1999
윤재국99쌍RF,108,304,260,35,69,9,9,1,99,21,15,5,22,3,0,63,0,15,4,0.265,0.325,0.381,0.706,0.301,70.8,0.23,1975-05-05,1999
김일경99현,15,27,25,5,10,2,0,0,12,2,1,2,1,1,0,5,1,0,0,0.4,0.444,0.48,0.924,0.421,151.2,0.23,1978-07-01,1999
전근표00현1B,20,49,43,6,11,1,0,3,21,9,0,0,6,0,0,10,1,0,0,0.256,0.347,0.488,0.835,0.367,118,0.23,1977-03-05,2000
이정훈99현,5,12,9,3,3,1,0,1,7,3,0,0,3,0,0,2,0,0,0,0.333,0.5,0.778,1.278,0.521,217.5,0.23,1975-11-23,1999
곽권희88태,71,166,147,14,33,6,1,3,50,9,3,2,12,1,0,28,2,6,0,0.224,0.288,0.34,0.628,0.284,70.8,0.23,1966-10-14,1988
조충열86해2B,70,117,105,7,26,3,2,0,33,8,0,0,6,0,0,15,2,6,0,0.248,0.288,0.314,0.603,0.273,70,0.23,1959-02-25,1986
이중화96삼RF,64,174,154,24,38,2,1,2,48,11,6,2,12,1,0,18,4,7,0,0.247,0.305,0.312,0.617,0.281,75.5,0.23,1964-02-11,1996
김태완14한DH,89,214,186,26,48,8,0,7,77,39,0,0,24,3,1,51,10,0,1,0.258,0.351,0.414,0.764,0.346,88.2,0.23,1984-01-27,2014
조홍석13롯LF,30,79,64,5,16,6,1,0,24,4,2,3,8,4,0,24,0,3,0,0.25,0.368,0.375,0.743,0.344,101.3,0.23,1990-02-23,2013
장일현00해LF,115,373,337,42,91,17,1,4,122,35,3,4,25,2,0,38,9,5,3,0.27,0.322,0.362,0.684,0.308,78,0.23,1976-05-12,2000
이종운89롯RF,61,70,64,8,17,5,0,0,22,6,2,0,5,0,0,14,1,1,0,0.266,0.319,0.344,0.663,0.315,91.3,0.23,1966-04-06,1989
이재주94태C,23,50,41,7,6,0,0,2,12,6,0,0,7,2,0,21,0,0,0,0.146,0.3,0.293,0.593,0.29,80.5,0.23,1973-12-25,1994
박해종84OC,27,65,57,2,13,3,0,0,16,8,0,0,6,1,0,3,3,0,1,0.228,0.308,0.281,0.588,0.284,75.3,0.23,1952-09-09,1984
허도환12넥C,94,237,210,11,41,11,0,1,55,14,0,0,15,7,0,62,5,5,0,0.195,0.272,0.262,0.534,0.256,52.5,0.23,1984-07-31,2012
권희동13NRF,121,397,349,42,71,19,1,15,137,54,4,1,36,2,0,75,6,7,3,0.203,0.28,0.393,0.672,0.303,73.5,0.23,1990-12-30,2013
조효상97한,5,13,12,4,5,0,1,0,7,2,0,0,0,1,0,4,0,0,0,0.417,0.462,0.583,1.045,0.47,200.7,0.23,1974-01-26,1997
송민섭19KRF,105,64,53,24,16,0,1,0,18,4,1,3,7,2,0,13,0,1,1,0.302,0.397,0.34,0.736,0.35,110.4,0.23,1991-08-02,2019
박민우13N2B,32,47,41,10,11,1,0,0,12,6,9,2,5,0,0,6,3,0,1,0.268,0.34,0.293,0.633,0.31,78.1,0.23,1993-02-06,2013
문상철22K,17,28,26,4,7,1,0,2,14,3,1,0,2,0,0,9,0,0,0,0.269,0.321,0.538,0.86,0.382,136.9,0.23,1991-04-06,2022
오재원08두1B,117,311,282,45,70,10,3,0,86,28,28,7,17,7,0,62,3,3,2,0.248,0.305,0.305,0.61,0.291,69.7,0.23,1985-02-09,2008
허도환20KC,52,62,53,2,14,1,0,0,15,5,0,0,6,2,0,15,2,1,0,0.264,0.361,0.283,0.644,0.314,78.4,0.23,1984-07-31,2020
송지만13넥RF,34,56,51,6,14,1,0,2,21,8,0,0,4,1,0,14,1,0,0,0.275,0.339,0.412,0.751,0.352,106.6,0.23,1973-03-02,2013
조범현84OC,77,199,175,16,34,7,2,3,54,18,4,5,14,0,0,40,2,9,1,0.194,0.253,0.309,0.561,0.252,52.6,0.23,1960-10-01,1984
이재율20N,25,10,9,9,4,1,0,0,5,3,4,1,1,0,0,1,1,0,0,0.444,0.5,0.556,1.056,0.485,192.5,0.23,1993-05-02,2020
손용석12롯2B,43,70,64,3,17,2,0,0,19,5,0,0,5,1,0,13,1,0,0,0.266,0.329,0.297,0.625,0.305,86.8,0.23,1987-04-13,2012
이진영15LRF,103,350,301,32,77,5,1,9,111,39,2,4,42,3,4,55,10,2,2,0.256,0.351,0.369,0.719,0.328,91.3,0.23,1980-06-15,2015
백재호00한2B,103,345,301,34,65,22,1,3,98,23,0,0,30,6,0,63,7,4,4,0.216,0.296,0.326,0.622,0.284,62.8,0.23,1974-06-30,2000
정회열98삼C,39,70,61,2,16,2,0,0,18,8,0,0,5,1,0,13,2,1,2,0.262,0.319,0.295,0.614,0.282,72.8,0.23,1968-10-09,1998
김동한19롯2B,42,85,78,9,22,4,0,0,26,2,3,2,6,0,0,15,1,1,0,0.282,0.333,0.333,0.667,0.313,86.4,0.23,1988-06-24,2019
김기홍89M,11,34,31,3,9,3,0,0,12,6,2,0,2,0,0,2,1,1,0,0.29,0.333,0.387,0.72,0.334,104.1,0.22,1970-02-26,1989
박노준92해LF,92,263,238,39,57,11,3,2,80,28,11,5,20,2,0,16,6,1,2,0.24,0.302,0.336,0.638,0.297,73,0.22,1962-10-26,1992
민경삼91L2B,89,179,157,13,35,4,0,2,45,13,7,5,13,6,0,16,5,3,0,0.223,0.307,0.287,0.593,0.285,69.1,0.22,1963-02-24,1991
장원진92OLF,23,55,48,6,15,3,0,0,18,4,0,0,5,0,0,3,0,2,0,0.313,0.377,0.375,0.752,0.343,104.3,0.22,1969-06-15,1992
유한준12넥RF,74,274,246,22,59,11,1,3,81,25,3,1,19,2,1,36,11,6,1,0.24,0.299,0.329,0.628,0.291,77.1,0.22,1981-07-01,2012
강정길86빙1B,63,211,186,11,48,8,0,1,59,19,2,2,16,1,0,25,5,7,1,0.258,0.319,0.317,0.636,0.297,87.8,0.22,1962-07-25,1986
김민하19한LF,72,140,125,14,32,6,0,2,44,14,5,2,9,3,0,41,4,2,1,0.256,0.319,0.352,0.671,0.311,87.5,0.22,1989-02-25,2019
최용제20두C,28,49,44,9,13,0,1,0,15,9,0,0,4,0,0,8,2,1,0,0.295,0.354,0.341,0.695,0.323,85.4,0.22,1991-07-12,2020
권정웅17삼C,60,112,99,11,21,3,0,6,42,11,0,0,8,1,0,31,4,4,0,0.212,0.278,0.424,0.702,0.294,62.1,0.22,1992-11-15,2017
조인성00LC,108,258,227,19,51,5,1,5,73,33,2,1,16,4,0,59,6,6,5,0.225,0.282,0.322,0.603,0.269,50.4,0.22,1975-05-25,2000
안희봉99현1B,10,20,17,1,6,1,0,1,10,4,0,0,2,1,0,4,2,0,0,0.353,0.45,0.588,1.038,0.452,171.8,0.22,1972-10-03,1999
김진한90태C,11,17,17,1,6,1,1,0,9,4,0,0,0,0,0,3,1,0,0,0.353,0.353,0.529,0.882,0.406,151.6,0.22,1964-05-19,1990
고영민13두2B,10,17,14,3,4,1,0,1,8,1,1,0,3,0,1,5,1,0,0,0.286,0.412,0.571,0.983,0.424,156.6,0.22,1984-02-08,2013
김주형13K1B,81,279,249,27,60,8,0,9,95,34,1,0,23,3,1,54,7,0,4,0.241,0.308,0.382,0.69,0.32,84.8,0.22,1985-12-15,2013
박한이17삼LF,68,134,118,14,31,9,0,4,52,14,0,0,13,0,2,33,2,2,1,0.263,0.333,0.441,0.774,0.331,88.1,0.22,1979-01-28,2017
